cancer	id.cancer	sex	age	country_name	year	deaths	crude.rate	ASR..W.	Cumulative.risk
		Male		Australia	2004.0	21421			
		Male		Australia	2006.0	21876			
		Male		Australia	2007.0	22287			
		Male		Australia	2008.0	23356			
		Male		Australia	2009.0	23206			
		Male		Australia	2010.0	24051			
		Female		Austria	1955.0	8031			
		Female		Austria	1956.0	8378			
		Female		Austria	1957.0	8567			
		Female		Austria	1958.0	8601			
		Female		Austria	1959.0	8695			
		Female		Austria	1960.0	8580			
		Female		Austria	1961.0	8823			
		Female		Austria	1962.0	8713			
		Female		Austria	1963.0	9087			
		Female		Austria	1964.0	9260			
		Female		Austria	1965.0	9243			
		Female		Austria	1966.0	9444			
		Female		Austria	1967.0	9447			
		Female		Austria	1968.0	9522			
		Female		Austria	1969.0	9439			
		Female		Austria	1970.0	9595			
		Female		Austria	1971.0	9472			
		Female		Austria	1972.0	9481			
		Female		Austria	1973.0	9414			
		Female		Austria	1974.0	9729			
		Female		Austria	1975.0	9402			
		Female		Austria	1976.0	9443			
		Female		Austria	1977.0	9550			
		Female		Austria	1978.0	9235			
		Female		Austria	1979.0	9225			
		Female		Austria	1980.0	9530			
		Female		Austria	1981.0	9541			
		Female		Austria	1982.0	9592			
		Female		Austria	1983.0	9459			
		Female		Austria	1984.0	9663			
		Female		Austria	1985.0	9526			
		Female		Austria	1986.0	9392			
		Female		Austria	1987.0	9665			
		Female		Austria	1988.0	9578			
		Female		Austria	1989.0	9514			
		Female		Austria	1990.0	9664			
		Female		Austria	1991.0	9522			
		Female		Austria	1992.0	9689			
		Female		Austria	1993.0	9642			
		Female		Austria	1994.0	9546			
		Female		Austria	1995.0	9530			
		Female		Austria	1996.0	9205			
		Female		Austria	1997.0	9214			
		Female		Austria	1998.0	9032			
		Female		Austria	1999.0	9100			
		Female		Austria	2000.0	9225			
		Female		Austria	2001.0	8968			
		Female		Austria	2002.0	8878			
		Female		Austria	2003.0	9177			
		Female		Austria	2004.0	9200			
		Female		Austria	2005.0	9134			
		Female		Austria	2006.0	8962			
		Female		Austria	2007.0	8988			
		Female		Austria	2008.0	9224			
		Female		Austria	2009.0	9173			
		Female		Austria	2010.0	9296			
		Male		Austria	1955.0	8284			
