id.cancer	sex	age	country_name	year	cases.number
	Male		Austria	2009	30934
	Male		Austria	2010	30717
	Female		Azerbaijan	1981	5945
	Female		Azerbaijan	1982	6471
	Female		Azerbaijan	1985	6516
	Female		Azerbaijan	1986	7112
	Female		Azerbaijan	1987	6797
	Female		Azerbaijan	1988	6688
	Female		Azerbaijan	1989	5884
	Female		Azerbaijan	1990	5418
	Female		Azerbaijan	1991	5244
	Female		Azerbaijan	1992	5946
	Female		Azerbaijan	1993	5659
	Female		Azerbaijan	1994	5911
	Female		Azerbaijan	1995	5713
	Female		Azerbaijan	1996	5389
	Female		Azerbaijan	1997	5621
	Female		Azerbaijan	1998	6000
	Female		Azerbaijan	1999	6366
	Female		Azerbaijan	2000	6019
	Female		Azerbaijan	2001	6791
	Female		Azerbaijan	2002	7316
	Female		Azerbaijan	2003	7755
	Female		Azerbaijan	2004	7989
	Female		Azerbaijan	2007	6188
	Male		Azerbaijan	1981	7398
	Male		Azerbaijan	1982	7637
	Male		Azerbaijan	1985	7649
	Male		Azerbaijan	1986	8512
	Male		Azerbaijan	1987	8524
	Male		Azerbaijan	1988	8852
	Male		Azerbaijan	1989	7980
	Male		Azerbaijan	1990	7222
	Male		Azerbaijan	1991	7286
	Male		Azerbaijan	1992	7934
	Male		Azerbaijan	1993	7665
	Male		Azerbaijan	1994	7659
	Male		Azerbaijan	1995	7292
	Male		Azerbaijan	1996	7526
	Male		Azerbaijan	1997	7460
	Male		Azerbaijan	1998	7486
	Male		Azerbaijan	1999	7794
	Male		Azerbaijan	2000	7694
	Male		Azerbaijan	2001	8435
	Male		Azerbaijan	2002	9000
	Male		Azerbaijan	2003	9737
	Male		Azerbaijan	2004	9280
	Male		Azerbaijan	2007	7511
	Female		Belarus	1981	16343
	Female		Belarus	1982	16499
	Female		Belarus	1985	18054
	Female		Belarus	1986	18721
	Female		Belarus	1987	19222
	Female		Belarus	1988	19866
	Female		Belarus	1989	20364
	Female		Belarus	1990	21098
	Female		Belarus	1991	21384
	Female		Belarus	1992	21843
	Female		Belarus	1993	21409
	Female		Belarus	1994	21320
	Female		Belarus	1995	22241
	Female		Belarus	1997	21835
	Female		Belarus	1998	22358
	Female		Belarus	1999	22788
	Female		Belarus	2000	22090
	Female		Belarus	2001	22472
